Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Towner County, North Dakota",2224,37239,227,10.21%,Towner County,North Dakota
"Traill County, North Dakota",8008,33321,489,6.11%,Traill County,North Dakota
"Walsh County, North Dakota",10751,34194,958,8.91%,Walsh County,North Dakota
"Ward County, North Dakota",68812,34923,6319,9.18%,Ward County,North Dakota
"Wells County, North Dakota",3976,35134,336,8.45%,Wells County,North Dakota
"Williams County, North Dakota",35208,44235,2108,5.99%,Williams County,North Dakota
"Adams County, Ohio",27776,22366,5666,20.4%,Adams County,Ohio
"Allen County, Ohio",103175,26761,13819,13.39%,Allen County,Ohio
"Ashland County, Ohio",53536,26017,7048,13.16%,Ashland County,Ohio
"Ashtabula County, Ohio",97830,24265,18825,19.24%,Ashtabula County,Ohio
"Athens County, Ohio",65917,22040,16942,25.7%,Athens County,Ohio
"Auglaize County, Ohio",45729,31198,3773,8.25%,Auglaize County,Ohio
"Belmont County, Ohio",68024,27580,7900,11.61%,Belmont County,Ohio
"Brown County, Ohio",43572,26696,6557,15.05%,Brown County,Ohio
"Butler County, Ohio",380019,31921,46018,12.11%,Butler County,Ohio
"Carroll County, Ohio",27332,29518,3306,12.1%,Carroll County,Ohio
"Champaign County, Ohio",38845,27722,3845,9.9%,Champaign County,Ohio
"Clark County, Ohio",134726,27066,19570,14.53%,Clark County,Ohio
"Clermont County, Ohio",204275,34390,18162,8.89%,Clermont County,Ohio
"Clinton County, Ohio",41957,26690,6002,14.31%,Clinton County,Ohio
"Columbiana County, Ohio",103190,26469,14196,13.76%,Columbiana County,Ohio
"Coshocton County, Ohio",36585,23432,5181,14.16%,Coshocton County,Ohio
"Crawford County, Ohio",41821,25744,6118,14.63%,Crawford County,Ohio
"Cuyahoga County, Ohio",1247451,33114,213209,17.09%,Cuyahoga County,Ohio
"Darke County, Ohio",51513,27855,5331,10.35%,Darke County,Ohio
"Defiance County, Ohio",38160,29816,3809,9.98%,Defiance County,Ohio
"Delaware County, Ohio",201135,48117,9530,4.74%,Delaware County,Ohio
"Erie County, Ohio",74780,32790,8608,11.51%,Erie County,Ohio
"Fairfield County, Ohio",154457,32021,13930,9.02%,Fairfield County,Ohio
"Fayette County, Ohio",28620,26079,4551,15.9%,Fayette County,Ohio
"Franklin County, Ohio",1290360,33998,197950,15.34%,Franklin County,Ohio
"Fulton County, Ohio",42253,29600,3263,7.72%,Fulton County,Ohio
"Gallia County, Ohio",30088,24130,6055,20.12%,Gallia County,Ohio
"Geauga County, Ohio",93843,42958,5344,5.69%,Geauga County,Ohio
"Greene County, Ohio",166502,35833,18252,10.96%,Greene County,Ohio
"Guernsey County, Ohio",39111,24742,7664,19.6%,Guernsey County,Ohio
"Hamilton County, Ohio",813589,35570,125456,15.42%,Hamilton County,Ohio
"Hancock County, Ohio",75837,32797,7937,10.47%,Hancock County,Ohio
"Hardin County, Ohio",31425,23383,4029,12.82%,Hardin County,Ohio
"Harrison County, Ohio",15211,24940,2380,15.65%,Harrison County,Ohio
"Henry County, Ohio",27208,28830,2246,8.25%,Henry County,Ohio
"Highland County, Ohio",43016,23543,8213,19.09%,Highland County,Ohio
"Hocking County, Ohio",28390,25588,3681,12.97%,Hocking County,Ohio
"Holmes County, Ohio",43901,23404,4283,9.76%,Holmes County,Ohio
"Huron County, Ohio",58339,26133,7580,12.99%,Huron County,Ohio
"Jackson County, Ohio",32450,23254,5983,18.44%,Jackson County,Ohio
"Jefferson County, Ohio",66371,26391,11207,16.89%,Jefferson County,Ohio
"Knox County, Ohio",61481,26390,7593,12.35%,Knox County,Ohio
"Lake County, Ohio",229954,34409,18325,7.97%,Lake County,Ohio
"Lawrence County, Ohio",60184,24562,10712,17.8%,Lawrence County,Ohio
"Licking County, Ohio",173750,31617,17750,10.22%,Licking County,Ohio
"Logan County, Ohio",45316,29424,5090,11.23%,Logan County,Ohio
"Lorain County, Ohio",307670,30928,40189,13.06%,Lorain County,Ohio
"Lucas County, Ohio",431102,29226,78848,18.29%,Lucas County,Ohio
"Madison County, Ohio",44135,29164,3518,7.97%,Madison County,Ohio
"Mahoning County, Ohio",229961,28378,39109,17.01%,Mahoning County,Ohio
"Marion County, Ohio",65299,24484,8790,13.46%,Marion County,Ohio
"Medina County, Ohio",177980,37788,10627,5.97%,Medina County,Ohio
"Meigs County, Ohio",23078,24899,4483,19.43%,Meigs County,Ohio
"Mercer County, Ohio",40884,29765,2591,6.34%,Mercer County,Ohio
"Miami County, Ohio",105371,31254,9521,9.04%,Miami County,Ohio
"Monroe County, Ohio",13942,26476,2356,16.9%,Monroe County,Ohio
"Montgomery County, Ohio",531670,30034,85528,16.09%,Montgomery County,Ohio
"Morgan County, Ohio",14640,22937,2774,18.95%,Morgan County,Ohio
"Morrow County, Ohio",35043,28257,3363,9.6%,Morrow County,Ohio
"Muskingum County, Ohio",86131,25148,13396,15.55%,Muskingum County,Ohio
"Noble County, Ohio",14416,24440,1874,13.0%,Noble County,Ohio
"Ottawa County, Ohio",40632,34560,4044,9.95%,Ottawa County,Ohio
"Paulding County, Ohio",18809,28300,1843,9.8%,Paulding County,Ohio
"Perry County, Ohio",36022,23484,6783,18.83%,Perry County,Ohio
"Pickaway County, Ohio",57762,27760,6431,11.13%,Pickaway County,Ohio
"Pike County, Ohio",28000,24318,5161,18.43%,Pike County,Ohio
"Portage County, Ohio",162511,30054,19808,12.19%,Portage County,Ohio
"Preble County, Ohio",41093,28890,4100,9.98%,Preble County,Ohio
"Putnam County, Ohio",33911,31743,2557,7.54%,Putnam County,Ohio
"Richland County, Ohio",121100,25585,15321,12.65%,Richland County,Ohio
"Ross County, Ohio",76948,24913,12307,15.99%,Ross County,Ohio
"Sandusky County, Ohio",59029,27319,6706,11.36%,Sandusky County,Ohio
"Scioto County, Ohio",76040,23719,16330,21.48%,Scioto County,Ohio
"Seneca County, Ohio",55351,27100,6663,12.04%,Seneca County,Ohio
"Shelby County, Ohio",48749,29381,4240,8.7%,Shelby County,Ohio
"Stark County, Ohio",372404,29495,49165,13.2%,Stark County,Ohio
"Summit County, Ohio",541334,33606,70281,12.98%,Summit County,Ohio
"Trumbull County, Ohio",200367,26935,33883,16.91%,Trumbull County,Ohio
"Tuscarawas County, Ohio",92335,27057,11645,12.61%,Tuscarawas County,Ohio
"Union County, Ohio",56707,37384,3143,5.54%,Union County,Ohio
"Van Wert County, Ohio",28261,27115,3090,10.93%,Van Wert County,Ohio
"Vinton County, Ohio",13083,21781,2447,18.7%,Vinton County,Ohio
"Warren County, Ohio",229132,41792,10071,4.4%,Warren County,Ohio
"Washington County, Ohio",60426,28782,8337,13.8%,Washington County,Ohio
"Wayne County, Ohio",116099,27884,12618,10.87%,Wayne County,Ohio
"Williams County, Ohio",36816,27124,3966,10.77%,Williams County,Ohio
"Wood County, Ohio",130150,32431,15936,12.24%,Wood County,Ohio
"Wyandot County, Ohio",22000,28541,1611,7.32%,Wyandot County,Ohio
"Adair County, Oklahoma",22220,17026,6124,27.56%,Adair County,Oklahoma
"Alfalfa County, Oklahoma",5847,27615,433,7.41%,Alfalfa County,Oklahoma
"Atoka County, Oklahoma",13823,20443,2538,18.36%,Atoka County,Oklahoma
"Beaver County, Oklahoma",5377,24514,599,11.14%,Beaver County,Oklahoma
"Beckham County, Oklahoma",22268,24480,3363,15.1%,Beckham County,Oklahoma
"Blaine County, Oklahoma",9556,25851,981,10.27%,Blaine County,Oklahoma
"Bryan County, Oklahoma",46457,23979,7728,16.63%,Bryan County,Oklahoma
"Caddo County, Oklahoma",29242,23167,5274,18.04%,Caddo County,Oklahoma
"Canadian County, Oklahoma",140455,30755,11389,8.11%,Canadian County,Oklahoma
"Carter County, Oklahoma",48319,26094,7637,15.81%,Carter County,Oklahoma
"Cherokee County, Oklahoma",48664,22161,10362,21.29%,Cherokee County,Oklahoma
"Choctaw County, Oklahoma",14807,21277,4032,27.23%,Choctaw County,Oklahoma
"Cimarron County, Oklahoma",2174,29115,363,16.7%,Cimarron County,Oklahoma
"Cleveland County, Oklahoma",279274,31571,32098,11.49%,Cleveland County,Oklahoma
"Coal County, Oklahoma",5581,24055,1207,21.63%,Coal County,Oklahoma
"Comanche County, Oklahoma",121762,26449,17964,14.75%,Comanche County,Oklahoma
"Cotton County, Oklahoma",5858,23564,1037,17.7%,Cotton County,Oklahoma
"Craig County, Oklahoma",14390,21318,2503,17.39%,Craig County,Oklahoma
"Creek County, Oklahoma",71427,26044,10555,14.78%,Creek County,Oklahoma
"Custer County, Oklahoma",29152,26520,5000,17.15%,Custer County,Oklahoma
"Delaware County, Oklahoma",42433,24070,7690,18.12%,Delaware County,Oklahoma
"Dewey County, Oklahoma",4922,28310,799,16.23%,Dewey County,Oklahoma
"Ellis County, Oklahoma",4015,28195,634,15.79%,Ellis County,Oklahoma
"Garfield County, Oklahoma",61898,28333,8279,13.38%,Garfield County,Oklahoma
"Garvin County, Oklahoma",27835,24880,4166,14.97%,Garvin County,Oklahoma
"Grady County, Oklahoma",55071,30242,6253,11.35%,Grady County,Oklahoma
"Grant County, Oklahoma",4397,28815,293,6.66%,Grant County,Oklahoma
"Greer County, Oklahoma",5861,18907,975,16.64%,Greer County,Oklahoma
"Harmon County, Oklahoma",2710,26045,383,14.13%,Harmon County,Oklahoma
"Harper County, Oklahoma",3760,24130,554,14.73%,Harper County,Oklahoma
"Haskell County, Oklahoma",12687,22074,2391,18.85%,Haskell County,Oklahoma
"Hughes County, Oklahoma",13372,20572,2465,18.43%,Hughes County,Oklahoma
"Jackson County, Oklahoma",25063,25555,4204,16.77%,Jackson County,Oklahoma
"Jefferson County, Oklahoma",6158,24313,1283,20.83%,Jefferson County,Oklahoma
"Johnston County, Oklahoma",11064,21197,2238,20.23%,Johnston County,Oklahoma
"Kay County, Oklahoma",44402,26189,7517,16.93%,Kay County,Oklahoma
"Kingfisher County, Oklahoma",15694,31724,1865,11.88%,Kingfisher County,Oklahoma
"Kiowa County, Oklahoma",8886,21482,2072,23.32%,Kiowa County,Oklahoma
"Latimer County, Oklahoma",10348,25240,1859,17.96%,Latimer County,Oklahoma
"Le Flore County, Oklahoma",50026,20902,10082,20.15%,Le Flore County,Oklahoma
"Lincoln County, Oklahoma",34895,25255,4778,13.69%,Lincoln County,Oklahoma
"Logan County, Oklahoma",46683,31105,6302,13.5%,Logan County,Oklahoma
"Love County, Oklahoma",10063,22036,1491,14.82%,Love County,Oklahoma
"McClain County, Oklahoma",39247,32259,3021,7.7%,McClain County,Oklahoma
"McCurtain County, Oklahoma",33016,20671,7392,22.39%,McCurtain County,Oklahoma
"McIntosh County, Oklahoma",19725,23268,4027,20.42%,McIntosh County,Oklahoma
"Major County, Oklahoma",7692,28609,942,12.25%,Major County,Oklahoma
"Marshall County, Oklahoma",16505,22781,2755,16.69%,Marshall County,Oklahoma
"Mayes County, Oklahoma",41044,24472,7317,17.83%,Mayes County,Oklahoma
"Murray County, Oklahoma",13946,26943,2089,14.98%,Murray County,Oklahoma
"Muskogee County, Oklahoma",68736,23826,13641,19.85%,Muskogee County,Oklahoma
"Noble County, Oklahoma",11335,28011,1207,10.65%,Noble County,Oklahoma
"Nowata County, Oklahoma",10322,22930,1605,15.55%,Nowata County,Oklahoma
"Okfuskee County, Oklahoma",12067,18437,2889,23.94%,Okfuskee County,Oklahoma
"Oklahoma County, Oklahoma",787216,31609,123116,15.64%,Oklahoma County,Oklahoma
"Okmulgee County, Oklahoma",38749,23431,7230,18.66%,Okmulgee County,Oklahoma
"Osage County, Oklahoma",47226,25473,7136,15.11%,Osage County,Oklahoma
"Ottawa County, Oklahoma",31454,20814,6302,20.04%,Ottawa County,Oklahoma
"Pawnee County, Oklahoma",16412,24303,2567,15.64%,Pawnee County,Oklahoma
"Payne County, Oklahoma",81815,24057,19739,24.13%,Payne County,Oklahoma
"Pittsburg County, Oklahoma",44146,25524,7057,15.99%,Pittsburg County,Oklahoma
"Pontotoc County, Oklahoma",38355,26187,5414,14.12%,Pontotoc County,Oklahoma
"Pottawatomie County, Oklahoma",72154,24178,11177,15.49%,Pottawatomie County,Oklahoma
"Pushmataha County, Oklahoma",11128,22435,2244,20.17%,Pushmataha County,Oklahoma
"Roger Mills County, Oklahoma",3667,30866,626,17.07%,Roger Mills County,Oklahoma
"Rogers County, Oklahoma",91353,32148,8865,9.7%,Rogers County,Oklahoma
"Seminole County, Oklahoma",24832,20666,4910,19.77%,Seminole County,Oklahoma
"Sequoyah County, Oklahoma",41709,20384,8851,21.22%,Sequoyah County,Oklahoma
"Stephens County, Oklahoma",43647,25769,6100,13.98%,Stephens County,Oklahoma
"Texas County, Oklahoma",20805,22003,3988,19.17%,Texas County,Oklahoma
"Tillman County, Oklahoma",7413,21974,1402,18.91%,Tillman County,Oklahoma
"Tulsa County, Oklahoma",646419,32044,95237,14.73%,Tulsa County,Oklahoma
"Wagoner County, Oklahoma",78958,29415,8116,10.28%,Wagoner County,Oklahoma
"Washington County, Oklahoma",51886,30847,6738,12.99%,Washington County,Oklahoma
"Washita County, Oklahoma",11225,26265,1583,14.1%,Washita County,Oklahoma
"Woods County, Oklahoma",9043,27427,1077,11.91%,Woods County,Oklahoma
"Woodward County, Oklahoma",20727,28915,2253,10.87%,Woodward County,Oklahoma
"Baker County, Oregon",16019,28700,1921,11.99%,Baker County,Oregon
"Benton County, Oregon",91107,33817,16319,17.91%,Benton County,Oregon
"Clackamas County, Oregon",410463,41492,32603,7.94%,Clackamas County,Oregon
"Clatsop County, Oregon",39102,29757,3864,9.88%,Clatsop County,Oregon
"Columbia County, Oregon",51375,31883,5928,11.54%,Columbia County,Oregon
"Coos County, Oregon",63686,27582,10111,15.88%,Coos County,Oregon
"Crook County, Oregon",23011,27007,3082,13.39%,Crook County,Oregon
"Curry County, Oregon",22650,30021,2796,12.34%,Curry County,Oregon
"Deschutes County, Oregon",186251,35507,19976,10.73%,Deschutes County,Oregon
"Douglas County, Oregon",109114,26478,15801,14.48%,Douglas County,Oregon
"Gilliam County, Oregon",1878,26482,194,10.33%,Gilliam County,Oregon
"Grant County, Oregon",7189,27367,1283,17.85%,Grant County,Oregon
"Harney County, Oregon",7267,26370,751,10.33%,Harney County,Oregon
"Hood River County, Oregon",23209,34926,1419,6.11%,Hood River County,Oregon
"Jackson County, Oregon",216574,30250,33234,15.35%,Jackson County,Oregon
"Jefferson County, Oregon",23607,23987,4017,17.02%,Jefferson County,Oregon
"Josephine County, Oregon",86251,25167,15384,17.84%,Josephine County,Oregon
"Klamath County, Oregon",66921,25880,12853,19.21%,Klamath County,Oregon
"Lake County, Oregon",7837,24241,1332,17.0%,Lake County,Oregon
"Lane County, Oregon",373340,29705,64457,17.26%,Lane County,Oregon
"Lincoln County, Oregon",48547,27861,7794,16.05%,Lincoln County,Oregon
"Linn County, Oregon",125048,27345,16376,13.1%,Linn County,Oregon
"Malheur County, Oregon",30412,18974,5808,19.1%,Malheur County,Oregon
"Marion County, Oregon",339641,27338,46970,13.83%,Marion County,Oregon
"Morrow County, Oregon",11303,23682,1632,14.44%,Morrow County,Oregon
"Multnomah County, Oregon",804606,39245,108947,13.54%,Multnomah County,Oregon
"Polk County, Oregon",83037,29440,10263,12.36%,Polk County,Oregon
"Sherman County, Oregon",1642,31615,220,13.4%,Sherman County,Oregon
"Tillamook County, Oregon",26389,27659,3365,12.75%,Tillamook County,Oregon
"Umatilla County, Oregon",77129,24444,12926,16.76%,Umatilla County,Oregon
"Union County, Oregon",26337,27646,3573,13.57%,Union County,Oregon
"Wallowa County, Oregon",7004,30485,941,13.44%,Wallowa County,Oregon
"Wasco County, Oregon",26130,27445,2969,11.36%,Wasco County,Oregon
"Washington County, Oregon",589481,39679,52106,8.84%,Washington County,Oregon
"Wheeler County, Oregon",1415,21702,195,13.78%,Wheeler County,Oregon
"Yamhill County, Oregon",104831,31314,12117,11.56%,Yamhill County,Oregon
"Adams County, Pennsylvania",102470,31590,7622,7.44%,Adams County,Pennsylvania
"Allegheny County, Pennsylvania",1221744,38709,138335,11.32%,Allegheny County,Pennsylvania
"Armstrong County, Pennsylvania",65867,27715,7215,10.95%,Armstrong County,Pennsylvania
"Beaver County, Pennsylvania",165833,31305,17994,10.85%,Beaver County,Pennsylvania
"Bedford County, Pennsylvania",48337,26078,5679,11.75%,Bedford County,Pennsylvania
"Berks County, Pennsylvania",418025,31571,48573,11.62%,Berks County,Pennsylvania
"Blair County, Pennsylvania",123157,28119,17648,14.33%,Blair County,Pennsylvania
"Bradford County, Pennsylvania",60963,28392,7643,12.54%,Bradford County,Pennsylvania
"Bucks County, Pennsylvania",626806,45849,36275,5.79%,Bucks County,Pennsylvania
"Butler County, Pennsylvania",186899,37811,14957,8.0%,Butler County,Pennsylvania
"Cambria County, Pennsylvania",133009,26008,19466,14.64%,Cambria County,Pennsylvania
"Cameron County, Pennsylvania",4611,24528,698,15.14%,Cameron County,Pennsylvania
"Carbon County, Pennsylvania",63887,29202,7328,11.47%,Carbon County,Pennsylvania
"Centre County, Pennsylvania",161960,30753,26030,16.07%,Centre County,Pennsylvania
