Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
Kev,,9781845760403,"Ennis, Garth [person] ; Hitch, Bryan [person] ; Ellis, Warren [person] ; Fabry, Glenn [person]",The Authority,,England,London,Titan,2005,Comic or graphic novel ; Fiction
Kevin Keller : drive me crazy,,9781936975587,"Parent, Dan [person]",,,United States of America,"Mamaroneck, New York",Archie,2013,Comic or graphic novel ; Fiction ; Novel
Kevin Keller : welcome to Riverdale,,9781936975235,"Parent, Dan [person]",,,England ; United States of America,"London ; Mamaroneck, New York",Archie ; Turnaround,2013,Comic or graphic novel ; Fiction ; Novel
Key princess story : eternal Alice Rondo,,9781597961127,Kaishaku [person],,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2007,Children's fiction ; Comic or graphic novel ; Fantasy
Khaki shorts,Electric soup ; The collected Shug 90,,Shug 90 [person],,,Scotland,,Braw,2010,Comic or graphic novel
Khan : ruling in hell,Ruling in hell ; Star Trek. Khan : ruling in hell,9781600109096,"Manfredi, Federica [person] ; Tipton, Scott [person] ; Tipton, David [person]",,,United States of America,"San Diego, California",,2011,Comic or graphic novel ; Novel ; Science fiction
Khan : the perfect warrior,Arcana Studio presents Khan : the perfect warrior,9781897548455,"Studio Ant (Firm) [organisation] ; O'Reilly, Sean, 1974- [person] ; Poulton, Mark [person]",,,Canada,"Maple Ridge, British Columbia",Arcana Comics,2009,Comic or graphic novel ; Fiction ; Historical fiction ; Novel
Khan,"Star trek into darkness (Motion picture) ; Star trek, Khan",9781613778951,"Balboni, Claudia, illustrator [person] ; Messina, illustrator [person] ; Johnson, Mike, author [person] ; Lamberti, Luca, illustrator [person] ; Orci, Roberto [person]",Star trek,,United States of America,"San Diego, California",,2014,Comic or graphic novel
Kick it off,,9781620104729,"Jones, James Lucas, editor [person] ; Mercado, Yehudi, artist ; author [person] ; Wilson, Desiree, editor [person]",Sci-fu,book 1 [Sci-fu],United States of America,"Portland, Oregon",Oni Press,2018,Comic or graphic novel
Kicked in the teeth,Suicide Squad. Volume 1. Kicked in the teeth,9781401235444 ; 9781781163740,"Staples, Val [person] ; Passalaqua, Allen [person] ; Hi-Fi, Joey [person] ; Dallocchio, Federico [person] ; Glass, Adam, 1968- [person]",,,United States of America,New York,DC Comics,2012,Comic or graphic novel ; Science fiction
Kicking and screaming,Black Canary. Volume 1. Kicking and screaming,9781401261177,"Wu, Annie, illustrator [person] ; Wands, Steve, illustrator [person] ; Jarrell, Sandy, illustrator [person] ; Fletcher, Brenden, author [person] ; Loughridge, Lee, illustrator [person] ; Guerra, Pia, illustrator [person]",,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel ; Fiction
Kicking down the door,,9781848569584,"Trautmann, Eric S. [person] ; Straczynski, J. Michael, 1954- [person]",The shield,,England,London,Titan,2010,Comic or graphic novel
Kid Amazo,,9781840238983,"Milligan, Peter [person] ; Haynes, Rob [person]",JLA,,England ; United States of America,"London ; Santa Monica, California",Titan,2004,Comic or graphic novel ; Fiction ; Science fiction
Kid Flash lost,Citizen Cold ; Flashpoint : the world of Flashpoint featuring The Flash ; Grood of War ; Legion of Doom ; Reverse Flash ; The world of Flashpoint featuring The Flash,9781401234089 ; 9781781160695,"Kolins, Scott [person] ; Gomez, Joel [person]",,,United States of America,New York,DC Comics,2012,Comic or graphic novel
Kid Savage,Kid Savage. Volume 1,9781632159380,"Ilya, artist [person] ; Kelly, Joe, 1971-, author [person]",,,United States of America,"Portland, Oregon",Image,2017,Comic or graphic novel ; Science fiction
Kid Yimage and the really big hole,"Alice in Wonderland; or, A.L.I.C.E ; Beauty and the beast ; Chang'e ; Cinderella ; Dr. Frankenstein's lab ; Goldilocks & the Three Bears; or, Silver-Hair & the Three Xairs ; Hansel and Gretel; or, Bombus and Vespula ; Humpty Dumpty ; Jack and the Beanstalk ; John Henry ; Momotaro; or, The peach-pit boy ; Once upon a time machine ; One thousand and one nights; or, 1001 ; Peter Pan and Captain Hook ; Peter and the wolf ; Pinocchio ; Pinocchio; or, The stars are not wanted now ; Pygmalion ; Rapunzel ; Red Riding Hood ; Rikki-Tikki-Tavi ; Rip Van Winkle ; Santa Claus ; Snow White and the Seven Dwarves ; Sweet porridge; or, Sweet science ; The billy goats gruff; or, The crossing ; The boy who cried wolf; or, The Venusian shepherd boy who cried space wolf ; The boy who drew cats ; The five Chinese brothers ; The frog prince ; The genie in the lamp ; The gingerbread man ; The gold piece; or, A destiny earned ; The headless horseman ; The hunchback of Notre-Dame ; The last leaf ; The lion and the mouse; or, Caged ; The little mermaid ; The puppet show man; or, No strings ; The shepherd and the weaver girl ; The three little pigs ; The three musketeers ; The tortoise and the hare; or, The Tea Garden Park Soapbox Grand Prix ; The ugly duckling; or, The ugly part ; Three little pigs ; Tinkerbell and friends ; Unicorns ; Vasilissa the beautiful",9781616550400,"Carl, Andrew [person] ; Alexander, Tara [person] ; Stevens, Chris, artist [person] ; Evergreen, Nelson, 1971- [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2012,Adaptation ; Comic or graphic novel ; Novel
Kid lucky,,9781849184069,"Léturgie, Jean, author [person] ; Saincantin, Jerome, translator [person] ; Conrad, Didier, artist ; author [person] ; Yann, 1954-, artist ; author [person] ; Studio Leonardo, artist [organisation] ; Jeffrey, Erica, editor [person] ; Morris, 1923-2001, artist [person]",A Lucky Luke adventure,69 [A Lucky Luke adventure],England,"Canterbury, Kent",Cinebook,2018,Children's fiction ; Comic or graphic novel ; Western
Kid,Moth & Whisper. Volume 1. The kid ; Moth and Whisper,9781949028096,"Anderson, Ted, 1985-, author [person] ; Hickman, Jen, artist [person] ; Marts, Michael, editor [person]",,,United States of America,"Sherman Oaks, California",Aftershock Comics,2018,Comic or graphic novel ; Suspense ; Young adult fiction
KidGlovz,,9781742378527,"Hunt, Julie, 1958-, author [person] ; Newman, Dale, illustrator [person]",,,Australia,Sydney,Allen & Unwin,2015,Children's fiction ; Comic or graphic novel
Kiddyfun,,,,,,England,London,Gerald G. Swan,1945-,Comic or graphic novel
Kidnapped Santa Claus,L. Frank Baum's A kidnapped Santa Claus,9780062044006,"Baum, L. Frank (Lyman Frank), 1856-1919 [person] ; Robinson, Alex, 1969- [person]",,,United States of America,New York,HarperCollins,2010,Comic or graphic novel
Kidnapped,,9781904642046,"Macdonald, Fiona, 1958-, author [person] ; Gelev, Penko, illustrator [person] ; Stevenson, Robert Louis, 1850-1894 [person]",Graphic classics,,England,Brighton,Book House,2007,Adventure ; Children's fiction ; Comic or graphic novel ; Historical fiction ; Novel
Kidnappers,,9780713658477,"Jones, Ursula [person] ; Perkins, Mike [person]",Graffix,,England,London,A. & C. Black,2001,Children's fiction ; Comic or graphic novel ; Detective and mystery
Kidnapping,Clifton. Kidnapping,9781905460878,"Turk, 1947- [person] ; Groot, Bob de, 1941- [person]",,,England,Canterbury,Cinebook,2009,Children's fiction ; Comic or graphic novel ; Detective and mystery ; Fiction
Kids are alright,Blue Monday. 1. The kids are alright,9781632157041,"Clugston-Flores, Chynna, artist ; author [person] ; Cox, Jeromy [person] ; Bellaire, Jordie [person] ; Grenier, Amie [person]",,,United States of America,"Berkeley, California",Image Comics,2016,Comic or graphic novel
Kids are weird : and other observations from parenthood,,9781452118703,"Brown, Jeffrey, 1975- [person]",,,United States of America,San Francisco,Chronicle,2014,Comic or graphic novel ; Novel
Kids of the Round Table,,9781632291134,"Fraim, Brendon, artist [person] ; Fraim, Brian, artist [person] ; Tinnell, Robert, author [person] ; Shelton, Aaron J., author [person]",,,United States of America,,Action Lab Entertainment,2015,Comic or graphic novel ; Fantasy ; Novel
Kids of the black hole,Deadly class. Volume 2. Kids of the black hole,9781632152220,"Girner, Sebastian, editor [person] ; Loughridge, Lee [person] ; Wooton, Rus [person] ; Remender, Rick, author [person] ; Craig, Wes, artist [person]",,,United States of America,"Berkeley, California",Image Comics,2015,Comic or graphic novel
Kieli,,,"Teshirogi, Shiori [person] ; Kabei, Yukako [person]",,,England ; United States of America,London ; New York,"Little, Brown",2008,Comic or graphic novel ; Fiction ; Novel
Kilala princess,Disney's Kilala princess,,"Tanaka, Rika [person] ; Kodaka, Nao [person]",,,England ; United States of America,Hamburg ; London,Tokyopop,2007-,Children's fiction ; Comic or graphic novel ; Fantasy
Kill Chain,Ian Fleming's James Bond 007 in : Kill Chain ; Ian Fleming's James Bond in Kill Chain ; James Bond 007 in : Kill Chain ; James Bond in Kill Chain,9781524105952 ; 9781524106980,"Blythe, Chris [person] ; Rybandt, Joseph, editor [person] ; Bowland, Simon [person] ; Casalanguida, Luca, artist [person] ; Diggle, Andy, author [person]",,,United States of America,"Mount Laurel, New Jersey",Dynamite Entertainment,2018,Comic or graphic novel ; Fiction ; Novel ; Spy story
Kill Island,,9780785168409,"Cho, Frank, artist ; author [person]",Savage Wolverine,volume 1 [Savage Wolverine],United States of America,New York,Marvel,2013,Comic or graphic novel ; Fiction ; Science fiction
Kill My Mother : a graphic novel,,9780871403148,"Feiffer, Jules [person]",,,United States of America,New York,Corporation ; Liveright,2014,Comic or graphic novel ; Novel
Kill Shakespeare,,,"Belanger, Andy [person] ; McCreery, Conor [person] ; Del Col, Anthony [person]",,,United States of America,"San Diego, California",,2010-2011,Comic or graphic novel ; Horror ; Novel ; Parody
Kill Whitey Donovan,,9781506716503,"Barahona, Natalie, artist [person] ; Duncan, Sydney, author ; writer [person]",,,United States of America,Milwaukie,Dark Horse,2020,Comic or graphic novel ; Fiction ; Historical fiction ; Novel
Kill a man,,9781949028478,"Morgan, Alec, artist [person] ; Johnson, Phillip Kennedy, 1970-, author [person] ; Orlando, Steve, author ; writer [person] ; Campbell, Jim, letterer [person] ; Marts, Michael, editor [person]",,,United States of America,Dallas,Aftershock Comics,2020,Comic or graphic novel ; Fiction ; Novel
Kill human,Terminator/Robocop : kill human,9781606902608,"Holden, P. J. [person] ; Williams, Rob (Robert Glyndwr) [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2011,Comic or graphic novel ; Science fiction
Kill island,Savage Wolverine. Kill island,9781846535390,"Cho, Frank, artist ; author [person]",,,England,Tunbridge Wells,Panini Publishing,2013,Comic or graphic novel ; Fiction ; Science fiction
Kill machine,"Green arrow (New York, N.Y.) ; Green arrow. Volume 4. The kill machine",9781401246907,"Leigh, Rob, artist [person] ; Maiolo, Marcelo, illustrator [person] ; Sorrentino, Andrea, illustrator [person] ; Lemire, Jeff, author [person]",The new 52!,,United States of America,New York,DC Comics,2014,Comic or graphic novel ; Fiction ; Science fiction
Kill or be killed,,9781534313606,"Brubaker, Ed, author [person] ; Phillips, Sean, artist [person] ; Breitweiser, Bettie, artist [person]",,,United States of America,Berkeley,Image Comics,2019,Comic or graphic novel
Kill or die,,9780785166573,"Hopeless, Dennis, author [person] ; Walker, Kevin, 1965-, artist [person] ; Vitti, Alessandro, 1978-, artist [person]",Avengers arena ; Marvel now,1 [Avengers arena],United States of America,New York,Marvel,2013,Comic or graphic novel ; Fiction
Kill the devil,Chumble Spuzz. Kill the devil ; Chumble Spuzz. No. 1. Cartoon Stories presents Kill the devil,9781593620998,"Nicolle, Ethan [person]",,,United States of America,"San Jose, California",SLG Publishing,2008,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
Kill the messenger,Jack Avarice is the Courier. Book one. Kill the messenger,9781613771341,"Madden, Chris [person]",,,United States of America,San Diego,,2012,Comic or graphic novel ; Fiction ; Spy story
Kill the minotaur,,9781534303812,"Cantamessa, Christian, author [person] ; Ketner, Luke, artist [person] ; Mackiewicz, Sean, editor [person] ; Pasetto, Chris, author [person]",,,United States of America,"Portland, Oregon",Image Comics,2018,Comic or graphic novel ; Fiction ; Novel
Kill your darlings,,9781401278809,"Williams, Rob (Robert Glyndwr), author [person]",Suicide Squad,5 [Suicide Squad],United States of America,"Burbank, California",DC Comics,2018,Comic or graphic novel ; Fiction ; Science fiction
Kill your pet puppy,,,,,,England,London,Rough Trade,1980-,Comic or graphic novel
Killable,,9780785183976,"Cornell, Paul, author [person] ; Pierfederici, Mirco, artist [person] ; Davis, Alan, 1956-, artist [person]",Marvel now! ; Wolverine,2 [Wolverine],United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction ; Science fiction
Killapalooza,,9780857680730,"Hairsine, Trevor [person] ; Beechen, Adam [person]",,,England,London,Titan,2010,Comic or graphic novel ; Fiction
Killed in action,Avengers: the Initiative. Vol. 2. Killed in action,9780785128618 ; 9780785128687,"Slott, Dan [person] ; Gage, Christos [person] ; Caselli, Stefano [person]",,,United States of America,New York,Marvel Publishing,2008,Comic or graphic novel ; Fiction
Killer Croc,Batman (Comic strip) ; Batman and Robin ; Batman chronicles ; Detective comics ; Joker's asylum Killer Croc,9781401263454,"Richards, Cliff, artist [person] ; Jurgens, Dan, artist [person] ; Hardman, Gabriel, artist [person] ; Jones, Kelley, 1962-, artist [person] ; Grant, Alan, 1949-, author [person] ; Balent, Jim, artist [person] ; Finger, Bill, 1914-1974 [person] ; Kane, Bob [person] ; Aparo, Jim, artist [person] ; Swan, Curt, artist [person] ; Yardin, David, artist [person] ; Breyfogle, Norm, artist [person] ; Conway, Gerry, author [person] ; Raicht, Mike, author [person] ; Castillo, Tommy, artist [person] ; Dixon, Chuck, 1954-, author [person] ; Gustovich, Michael, artist [person] ; Seeley, Tim, author [person] ; Ramos, Rodney, artist [person] ; Gabrych, Andersen, 1973-, author [person] ; Portela, Francis, artist [person] ; Moench, Doug, 1948-, author [person]",Batman Arkham,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel
Killer inside me,Jim Thompson's The killer inside me,9781631408540,"Faraci, Devin, author [person] ; Millet, Jason [person] ; Malhotra, Vic, artist [person] ; Miesner, Christa [person] ; Thompson, Jim, 1906-1977 [person]",,,United States of America,"San Diego, California",,2017,Comic or graphic novel
